,Unnamed: 0,Unnamed: 0.1,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
61,61,61,828.83137,828.83137,820.70963,820.70963,2014-01-07T23:14:57.0000000Z,2014-01-07T23:14:51.0000000Z,2014-01-07T23:15:00.0000000Z,2014-01-07T23:14:00.0000000Z,2,0.02204152
62,62,62,837.02349,837.02349,837.02349,837.02349,2014-01-07T23:21:20.0000000Z,2014-01-07T23:21:10.0000000Z,2014-01-07T23:22:00.0000000Z,2014-01-07T23:21:00.0000000Z,2,0.1
63,63,63,812.4920900000002,820.62107,812.4920900000002,820.62107,2014-01-07T23:45:38.0000000Z,2014-01-07T23:45:27.0000000Z,2014-01-07T23:46:00.0000000Z,2014-01-07T23:45:00.0000000Z,3,0.02760956
64,64,64,810.0,810.0,810.0,810.0,2014-01-07T23:56:47.0000000Z,2014-01-07T23:56:47.0000000Z,2014-01-07T23:57:00.0000000Z,2014-01-07T23:56:00.0000000Z,1,0.1
65,65,65,810.0,810.0,810.0,810.0,2014-01-08T00:00:59.0000000Z,2014-01-08T00:00:22.0000000Z,2014-01-08T00:01:00.0000000Z,2014-01-08T00:00:00.0000000Z,6,0.22774813
66,66,66,810.0,810.0,810.0,810.0,2014-01-08T00:01:57.0000000Z,2014-01-08T00:01:07.0000000Z,2014-01-08T00:02:00.0000000Z,2014-01-08T00:01:00.0000000Z,8,0.32774839
67,67,67,804.44362,810.0,804.44362,810.0,2014-01-08T00:02:51.0000000Z,2014-01-08T00:02:05.0000000Z,2014-01-08T00:03:00.0000000Z,2014-01-08T00:02:00.0000000Z,8,0.31777413
68,68,68,800.0,800.0,800.0,800.0,2014-01-08T00:05:39.0000000Z,2014-01-08T00:05:27.0000000Z,2014-01-08T00:06:00.0000000Z,2014-01-08T00:05:00.0000000Z,3,0.23
69,69,69,800.0,800.0,800.0,800.0,2014-01-08T00:11:56.0000000Z,2014-01-08T00:11:56.0000000Z,2014-01-08T00:12:00.0000000Z,2014-01-08T00:11:00.0000000Z,1,0.05
70,70,70,812.40438,812.40438,800.0,800.0,2014-01-08T00:12:33.0000000Z,2014-01-08T00:12:05.0000000Z,2014-01-08T00:13:00.0000000Z,2014-01-08T00:12:00.0000000Z,5,0.18610496
71,71,71,796.38891,805.0,796.38891,805.0,2014-01-08T00:16:31.0000000Z,2014-01-08T00:16:04.0000000Z,2014-01-08T00:17:00.0000000Z,2014-01-08T00:16:00.0000000Z,4,0.09913741
72,72,72,792.0,792.0,792.0,792.0,2014-01-08T00:28:54.0000000Z,2014-01-08T00:28:09.0000000Z,2014-01-08T00:29:00.0000000Z,2014-01-08T00:28:00.0000000Z,2,0.013
73,73,73,788.0,894.04167,788.0,820.1976599999998,2014-01-08T00:29:44.0000000Z,2014-01-08T00:29:03.0000000Z,2014-01-08T00:30:00.0000000Z,2014-01-08T00:29:00.0000000Z,16,1.05938008
74,74,74,811.6482,811.6482,803.69481,803.69481,2014-01-08T00:52:13.0000000Z,2014-01-08T00:52:05.0000000Z,2014-01-08T00:53:00.0000000Z,2014-01-08T00:52:00.0000000Z,2,0.02227886
75,75,75,819.6702799999998,819.6702799999998,819.6702799999998,819.6702799999998,2014-01-08T00:53:34.0000000Z,2014-01-08T00:53:34.0000000Z,2014-01-08T00:54:00.0000000Z,2014-01-08T00:53:00.0000000Z,1,0.20094665
76,76,76,803.7581700000002,803.7581700000002,803.7581700000002,803.7581700000002,2014-01-08T01:09:44.0000000Z,2014-01-08T01:09:44.0000000Z,2014-01-08T01:10:00.0000000Z,2014-01-08T01:09:00.0000000Z,1,0.05
77,77,77,803.60812,803.60812,803.60812,803.60812,2014-01-08T01:24:54.0000000Z,2014-01-08T01:24:54.0000000Z,2014-01-08T01:25:00.0000000Z,2014-01-08T01:24:00.0000000Z,1,0.01127882
78,78,78,795.64764,795.64764,795.64764,795.64764,2014-01-08T01:25:02.0000000Z,2014-01-08T01:25:02.0000000Z,2014-01-08T01:26:00.0000000Z,2014-01-08T01:25:00.0000000Z,1,0.01133527
79,79,79,811.47299,811.47299,803.52134,803.52134,2014-01-08T01:35:14.0000000Z,2014-01-08T01:35:05.0000000Z,2014-01-08T01:36:00.0000000Z,2014-01-08T01:35:00.0000000Z,2,0.02228257
80,80,80,827.61317,827.61317,819.5033599999998,819.5033599999998,2014-01-08T01:52:51.0000000Z,2014-01-08T01:52:45.0000000Z,2014-01-08T01:53:00.0000000Z,2014-01-08T01:52:00.0000000Z,2,0.02206487
81,81,81,835.8032599999998,835.8032599999998,835.8032599999998,835.8032599999998,2014-01-08T01:53:00.0000000Z,2014-01-08T01:53:00.0000000Z,2014-01-08T01:54:00.0000000Z,2014-01-08T01:53:00.0000000Z,1,0.01095146
82,82,82,844.0644,844.0644,844.0644,844.0644,2014-01-08T01:59:57.0000000Z,2014-01-08T01:59:43.0000000Z,2014-01-08T02:00:00.0000000Z,2014-01-08T01:59:00.0000000Z,3,0.15
83,83,83,844.0644,844.0644,844.0644,844.0644,2014-01-08T02:00:22.0000000Z,2014-01-08T02:00:06.0000000Z,2014-01-08T02:01:00.0000000Z,2014-01-08T02:00:00.0000000Z,3,0.15
84,84,84,849.68481,849.68481,844.0744,844.0744,2014-01-08T02:21:37.0000000Z,2014-01-08T02:21:29.0000000Z,2014-01-08T02:22:00.0000000Z,2014-01-08T02:21:00.0000000Z,2,0.06089783
85,85,85,827.4346400000002,835.71312,827.4346400000002,835.71312,2014-01-08T02:51:17.0000000Z,2014-01-08T02:51:10.0000000Z,2014-01-08T02:52:00.0000000Z,2014-01-08T02:51:00.0000000Z,2,0.02217807
86,86,86,849.68481,849.68481,835.62289,835.62289,2014-01-08T03:16:23.0000000Z,2014-01-08T03:16:06.0000000Z,2014-01-08T03:17:00.0000000Z,2014-01-08T03:16:00.0000000Z,3,0.07185294
87,87,87,827.25601,835.53273,827.25601,835.53273,2014-01-08T03:20:46.0000000Z,2014-01-08T03:20:37.0000000Z,2014-01-08T03:21:00.0000000Z,2014-01-08T03:20:00.0000000Z,2,0.02218177
88,88,88,835.4425200000002,835.4425200000002,835.4425200000002,835.4425200000002,2014-01-08T03:28:56.0000000Z,2014-01-08T03:28:56.0000000Z,2014-01-08T03:29:00.0000000Z,2014-01-08T03:28:00.0000000Z,1,0.01095512
89,89,89,835.4425200000002,835.4425200000002,835.4425200000002,835.4425200000002,2014-01-08T03:29:35.0000000Z,2014-01-08T03:29:05.0000000Z,2014-01-08T03:30:00.0000000Z,2014-01-08T03:29:00.0000000Z,5,0.21878661
90,90,90,835.4425200000002,835.4425200000002,835.4425200000002,835.4425200000002,2014-01-08T03:32:21.0000000Z,2014-01-08T03:32:21.0000000Z,2014-01-08T03:33:00.0000000Z,2014-01-08T03:32:00.0000000Z,1,0.02913
91,91,91,843.7100800000002,843.7100800000002,843.7100800000002,843.7100800000002,2014-01-08T03:35:44.0000000Z,2014-01-08T03:35:15.0000000Z,2014-01-08T03:36:00.0000000Z,2014-01-08T03:35:00.0000000Z,4,0.05171718
92,92,92,849.68481,849.68481,849.68481,849.68481,2014-01-08T03:37:07.0000000Z,2014-01-08T03:37:07.0000000Z,2014-01-08T03:38:00.0000000Z,2014-01-08T03:37:00.0000000Z,1,0.32328458
93,93,93,849.67481,849.67481,849.67481,849.67481,2014-01-08T04:27:53.0000000Z,2014-01-08T04:27:47.0000000Z,2014-01-08T04:28:00.0000000Z,2014-01-08T04:27:00.0000000Z,2,0.1
94,94,94,849.67481,849.67481,849.67481,849.67481,2014-01-08T04:28:56.0000000Z,2014-01-08T04:28:00.0000000Z,2014-01-08T04:29:00.0000000Z,2014-01-08T04:28:00.0000000Z,9,0.45
95,95,95,849.67481,849.67481,849.67481,849.67481,2014-01-08T04:29:27.0000000Z,2014-01-08T04:29:02.0000000Z,2014-01-08T04:30:00.0000000Z,2014-01-08T04:29:00.0000000Z,4,0.19417886
96,96,96,835.2622200000002,835.35242,827.0775,835.35242,2014-01-08T04:59:54.0000000Z,2014-01-08T04:59:29.0000000Z,2014-01-08T05:00:00.0000000Z,2014-01-08T04:59:00.0000000Z,3,0.0331424
97,97,97,826.9882200000002,835.2622200000002,826.9882200000002,835.2622200000002,2014-01-08T05:00:15.0000000Z,2014-01-08T05:00:06.0000000Z,2014-01-08T05:01:00.0000000Z,2014-01-08T05:00:00.0000000Z,2,0.01116441
98,98,98,835.15209,835.15209,835.15209,835.15209,2014-01-08T05:35:29.0000000Z,2014-01-08T05:35:29.0000000Z,2014-01-08T05:36:00.0000000Z,2014-01-08T05:35:00.0000000Z,1,0.00015091
99,99,99,827.0,843.43697,827.0,835.17209,2014-01-08T06:23:59.0000000Z,2014-01-08T06:23:46.0000000Z,2014-01-08T06:24:00.0000000Z,2014-01-08T06:23:00.0000000Z,4,0.12186206
